,Date,PlayerID,Training,SessionType,Duration,RPE,SessionLoad,DailyLoad,AcuteChronicRatio,ObjectiveRating,FocusRating,BestOutOfMyself,AcuteLoad,ChronicLoad
27,2017-08-02,13,1,Skills,60.0,4.0,240.0,240.0,4.3,8.0,8.0,3.0,154.3,36.0
28,2017-08-02,13,1,Mobility/Recovery,15.0,0.0,0.0,240.0,4.3,8.0,8.0,3.0,154.3,36.0
29,2017-08-02,14,1,Skills,60.0,2.0,120.0,120.0,4.3,8.0,10.0,3.0,17.1,4.0
30,2017-08-02,15,1,Skills,60.0,3.0,180.0,180.0,4.3,7.0,8.0,3.0,68.6,16.0
31,2017-08-02,10,1,Skills,60.0,3.0,180.0,180.0,4.3,10.0,8.0,3.0,117.1,27.3
32,2017-08-03,9,1,Strength,75.0,6.0,450.0,600.0,4.3,10.0,10.0,3.0,143.6,33.5
33,2017-08-03,9,1,Conditioning,30.0,5.0,150.0,600.0,4.3,10.0,10.0,3.0,143.6,33.5
34,2017-08-03,8,1,Strength,60.0,2.0,120.0,480.0,4.3,7.0,8.0,3.0,135.0,31.5
35,2017-08-03,8,1,Skills,60.0,3.0,180.0,480.0,4.3,7.0,8.0,3.0,135.0,31.5
36,2017-08-03,8,1,Speed,60.0,3.0,180.0,480.0,4.3,7.0,8.0,3.0,135.0,31.5
37,2017-08-03,3,1,Strength,45.0,4.0,180.0,780.0,4.3,8.0,8.0,0.0,233.6,54.5
38,2017-08-03,5,1,Strength,30.0,4.0,120.0,360.0,4.3,9.0,10.0,3.0,98.6,23.0
39,2017-08-03,3,1,Skills,75.0,4.0,300.0,780.0,4.3,8.0,8.0,3.0,233.6,54.5
40,2017-08-03,3,1,Speed,60.0,5.0,300.0,780.0,4.3,8.0,8.0,3.0,233.6,54.5
41,2017-08-03,1,0,,,,,0.0,4.3,,,1.0,77.1,18.0
42,2017-08-03,10,1,Speed,45.0,4.0,180.0,720.0,4.3,10.0,9.0,3.0,220.0,51.3
43,2017-08-03,5,1,Strength,60.0,4.0,240.0,360.0,4.3,9.0,6.0,0.0,98.6,23.0
44,2017-08-03,10,1,Strength,60.0,3.0,180.0,720.0,4.3,10.0,9.0,1.0,220.0,51.3
45,2017-08-03,13,1,Strength,75.0,5.0,375.0,1125.0,4.3,9.0,9.0,0.0,315.0,73.5
46,2017-08-03,12,1,Speed,60.0,2.0,120.0,450.0,4.3,7.0,8.0,3.0,121.4,28.3
47,2017-08-03,15,1,Skills,60.0,4.0,240.0,720.0,4.3,7.0,7.0,3.0,171.4,40.0
48,2017-08-03,10,1,Skills,90.0,4.0,360.0,720.0,4.3,10.0,9.0,1.0,220.0,51.3
49,2017-08-03,15,1,Speed,60.0,4.0,240.0,720.0,4.3,7.0,7.0,3.0,171.4,40.0
50,2017-08-03,14,1,Skills,120.0,4.0,480.0,795.0,4.3,9.0,9.0,3.0,130.7,30.5
51,2017-08-03,14,1,Strength,60.0,3.0,180.0,795.0,4.3,9.0,9.0,3.0,130.7,30.5
52,2017-08-03,14,1,Speed,45.0,3.0,135.0,795.0,4.3,9.0,9.0,3.0,130.7,30.5
53,2017-08-03,15,1,Strength,60.0,4.0,240.0,720.0,4.3,7.0,7.0,3.0,171.4,40.0
54,2017-08-03,13,1,Mobility/Recovery,30.0,0.0,0.0,1125.0,4.3,9.0,9.0,3.0,315.0,73.5
55,2017-08-03,13,1,Speed,60.0,5.0,300.0,1125.0,4.3,9.0,9.0,3.0,315.0,73.5
56,2017-08-03,12,1,Skills,75.0,2.0,150.0,450.0,4.3,7.0,8.0,3.0,121.4,28.3
57,2017-08-03,12,1,Strength,60.0,3.0,180.0,450.0,4.3,7.0,8.0,3.0,121.4,28.3
58,2017-08-03,13,1,Skills,90.0,5.0,450.0,1125.0,4.3,9.0,9.0,3.0,315.0,73.5
59,2017-08-04,8,1,Skills,60.0,2.0,120.0,675.0,4.3,10.0,9.0,3.0,231.4,54.0
60,2017-08-04,3,1,Strength,90.0,6.0,540.0,1140.0,4.3,8.0,8.0,3.0,396.4,92.5
61,2017-08-04,3,1,Skills,60.0,5.0,300.0,1140.0,4.3,8.0,8.0,1.0,396.4,92.5
62,2017-08-04,4,1,Speed,60.0,5.0,300.0,1035.0,4.3,7.0,8.0,3.0,173.6,40.5
63,2017-08-04,4,1,Strength,75.0,5.0,375.0,1035.0,4.3,7.0,8.0,3.0,173.6,40.5
64,2017-08-04,4,1,Skills,90.0,4.0,360.0,1035.0,4.3,7.0,8.0,0.0,173.6,40.5
65,2017-08-04,5,1,Conditioning,30.0,5.0,150.0,450.0,4.3,10.0,9.0,3.0,162.9,38.0
66,2017-08-04,5,1,Strength,60.0,5.0,300.0,450.0,4.3,5.0,7.0,3.0,162.9,38.0
67,2017-08-04,8,1,Speed,60.0,3.0,180.0,675.0,4.3,10.0,9.0,3.0,231.4,54.0
68,2017-08-04,8,1,Strength,75.0,5.0,375.0,675.0,4.3,10.0,9.0,3.0,231.4,54.0
69,2017-08-04,9,1,Strength,90.0,6.0,540.0,715.0,4.3,10.0,10.0,3.0,245.7,57.3
70,2017-08-04,3,1,Speed,60.0,5.0,300.0,1140.0,4.3,8.0,8.0,3.0,396.4,92.5
71,2017-08-04,9,1,Mobility/Recovery,20.0,0.0,0.0,715.0,4.3,10.0,10.0,3.0,245.7,57.3
72,2017-08-04,9,1,Conditioning,35.0,5.0,175.0,715.0,4.3,10.0,10.0,3.0,245.7,57.3
73,2017-08-04,14,1,Skills,120.0,5.0,600.0,1275.0,4.3,9.0,8.0,3.0,312.9,73.0
74,2017-08-04,14,1,Speed,45.0,5.0,225.0,1275.0,4.3,9.0,8.0,3.0,312.9,73.0
75,2017-08-04,13,1,Mobility/Recovery,10.0,0.0,0.0,1290.0,4.3,9.0,9.0,3.0,499.3,116.5
76,2017-08-04,13,1,Skills,90.0,5.0,450.0,1290.0,4.3,9.0,9.0,3.0,499.3,116.5
77,2017-08-04,14,1,Strength,90.0,5.0,450.0,1275.0,4.3,9.0,8.0,3.0,312.9,73.0
78,2017-08-04,13,1,Speed,60.0,5.0,300.0,1290.0,4.3,9.0,9.0,3.0,499.3,116.5
79,2017-08-04,11,0,,,,,0.0,4.3,,,3.0,80.0,18.7
80,2017-08-04,10,1,Skills,75.0,4.0,300.0,1155.0,4.3,9.0,9.0,3.0,385.0,89.8
81,2017-08-04,10,1,Strength,90.0,7.0,630.0,1155.0,4.3,9.0,9.0,3.0,385.0,89.8
82,2017-08-04,10,1,Speed,45.0,5.0,225.0,1155.0,4.3,9.0,9.0,3.0,385.0,89.8
83,2017-08-04,13,1,Strength,90.0,6.0,540.0,1290.0,4.3,9.0,9.0,3.0,499.3,116.5
84,2017-08-05,15,0,,,,,0.0,4.3,,,,171.4,40.0
85,2017-08-05,13,1,Mobility/Recovery,30.0,0.0,0.0,0.0,4.3,8.0,8.0,3.0,499.3,116.5
86,2017-08-05,11,0,,,,,0.0,4.3,,,,80.0,18.7
87,2017-08-05,10,0,,,,,0.0,4.3,0.0,0.0,,385.0,89.8
88,2017-08-05,8,0,,,,,0.0,4.3,,,,231.4,54.0
89,2017-08-05,5,0,,,,,0.0,4.3,,,,162.9,38.0
90,2017-08-05,3,0,,,,,0.0,4.3,,,,396.4,92.5
91,2017-08-06,3,0,,,,,0.0,4.3,,,,396.4,92.5
92,2017-08-06,9,0,,,,,0.0,4.3,,,,245.7,57.3
93,2017-08-06,8,1,Mobility/Recovery,30.0,0.0,0.0,0.0,4.3,7.0,8.0,3.0,231.4,54.0
94,2017-08-06,12,0,,,,,0.0,4.3,,,,121.4,28.3
95,2017-08-06,13,1,Mobility/Recovery,30.0,0.0,0.0,0.0,4.3,9.0,5.0,3.0,499.3,116.5
96,2017-08-06,15,0,,,,,0.0,4.3,,,,171.4,40.0
97,2017-08-06,11,0,,,,,0.0,4.3,,,3.0,80.0,18.7
98,2017-08-07,9,1,Strength,75.0,5.0,375.0,690.0,4.3,10.0,10.0,3.0,344.3,80.3
99,2017-08-07,8,1,Strength,90.0,6.0,540.0,945.0,4.3,10.0,10.0,3.0,366.4,85.5
100,2017-08-07,8,1,Skills,75.0,3.0,225.0,945.0,4.3,10.0,10.0,3.0,366.4,85.5
101,2017-08-07,8,1,Speed,60.0,3.0,180.0,945.0,4.3,10.0,10.0,3.0,366.4,85.5
102,2017-08-07,7,1,Skills,60.0,3.0,180.0,1050.0,4.3,9.0,7.0,3.0,150.0,35.0
103,2017-08-07,7,1,Strength,90.0,7.0,630.0,1050.0,4.3,9.0,7.0,3.0,150.0,35.0
104,2017-08-07,7,1,Speed,60.0,4.0,240.0,1050.0,4.3,9.0,7.0,0.0,150.0,35.0
105,2017-08-07,5,1,Mobility/Recovery,30.0,0.0,0.0,480.0,4.3,8.0,7.0,3.0,231.4,54.0
106,2017-08-07,5,1,Strength,60.0,5.0,300.0,480.0,4.3,0.0,10.0,3.0,231.4,54.0
107,2017-08-07,4,1,Skills,90.0,3.0,270.0,1110.0,4.3,7.0,8.0,3.0,332.1,77.5
108,2017-08-07,4,1,Strength,90.0,6.0,540.0,1110.0,4.3,7.0,8.0,3.0,332.1,77.5
109,2017-08-07,4,1,Speed,60.0,5.0,300.0,1110.0,4.3,7.0,8.0,3.0,332.1,77.5
110,2017-08-07,3,1,Mobility/Recovery,30.0,1.0,30.0,1110.0,4.3,9.0,8.0,3.0,555.0,129.5
111,2017-08-07,3,1,Skills,60.0,4.0,240.0,1110.0,4.3,9.0,8.0,3.0,555.0,129.5
112,2017-08-07,3,1,Strength,90.0,6.0,540.0,1110.0,4.3,9.0,8.0,3.0,555.0,129.5
113,2017-08-07,3,1,Speed,60.0,5.0,300.0,1110.0,4.3,9.0,8.0,3.0,555.0,129.5
114,2017-08-07,1,1,Skills,60.0,3.0,180.0,720.0,4.3,7.0,8.0,0.0,180.0,42.0
115,2017-08-07,1,1,Strength,90.0,4.0,360.0,720.0,4.3,7.0,8.0,3.0,180.0,42.0
116,2017-08-07,1,1,Speed,60.0,3.0,180.0,720.0,4.3,7.0,8.0,3.0,180.0,42.0
117,2017-08-07,9,1,Conditioning,45.0,7.0,315.0,690.0,4.3,10.0,10.0,3.0,344.3,80.3
118,2017-08-07,5,1,Speed,30.0,6.0,180.0,480.0,4.3,8.0,8.0,0.0,231.4,54.0
119,2017-08-07,9,1,Mobility/Recovery,30.0,0.0,0.0,690.0,4.3,10.0,10.0,3.0,344.3,80.3
120,2017-08-07,11,1,Mobility/Recovery,45.0,2.0,90.0,970.0,4.3,7.0,7.0,3.0,218.6,51.0
121,2017-08-07,10,1,Strength,100.0,7.0,700.0,1120.0,4.3,9.0,9.0,3.0,545.0,127.2
122,2017-08-07,17,1,Skills,60.0,2.0,120.0,295.0,4.3,7.0,9.0,3.0,42.1,9.8
123,2017-08-07,17,1,Strength,35.0,2.0,70.0,295.0,4.3,7.0,9.0,3.0,42.1,9.8
124,2017-08-07,17,1,Speed,35.0,3.0,105.0,295.0,4.3,7.0,9.0,3.0,42.1,9.8
125,2017-08-07,10,1,Speed,60.0,4.0,240.0,1120.0,4.3,9.0,9.0,3.0,545.0,127.2
126,2017-08-07,15,1,Strength,110.0,5.0,550.0,1090.0,4.3,9.0,9.0,3.0,327.1,76.3
127,2017-08-07,15,1,Speed,90.0,4.0,360.0,1090.0,4.3,9.0,9.0,3.0,327.1,76.3
128,2017-08-07,14,1,Skills,90.0,3.0,270.0,1050.0,4.3,9.0,9.0,3.0,462.9,108.0
129,2017-08-07,14,1,Strength,90.0,6.0,540.0,1050.0,4.3,9.0,9.0,3.0,462.9,108.0
130,2017-08-07,14,1,Speed,60.0,4.0,240.0,1050.0,4.3,9.0,9.0,3.0,462.9,108.0
131,2017-08-07,13,1,Mobility/Recovery,30.0,0.0,0.0,1230.0,4.3,8.0,9.0,3.0,675.0,157.5
132,2017-08-07,15,1,Skills,90.0,2.0,180.0,1090.0,4.3,9.0,9.0,3.0,327.1,76.3
133,2017-08-07,13,1,Strength,90.0,7.0,630.0,1230.0,4.3,8.0,9.0,3.0,675.0,157.5
134,2017-08-07,13,1,Speed,60.0,5.0,300.0,1230.0,4.3,8.0,9.0,3.0,675.0,157.5
135,2017-08-07,12,1,Skills,60.0,3.0,180.0,720.0,4.3,7.0,7.0,3.0,224.3,52.3
136,2017-08-07,12,1,Strength,90.0,4.0,360.0,720.0,4.3,7.0,7.0,3.0,224.3,52.3
137,2017-08-07,12,1,Speed,60.0,3.0,180.0,720.0,4.3,7.0,7.0,3.0,224.3,52.3
138,2017-08-07,11,1,Skills,60.0,3.0,180.0,970.0,4.3,7.0,7.0,1.0,218.6,51.0
139,2017-08-07,11,1,Strength,70.0,4.0,280.0,970.0,4.3,7.0,7.0,3.0,218.6,51.0
140,2017-08-07,11,1,Speed,60.0,7.0,420.0,970.0,4.3,7.0,7.0,3.0,218.6,51.0
141,2017-08-07,10,1,Skills,60.0,3.0,180.0,1120.0,4.3,9.0,9.0,3.0,545.0,127.2
142,2017-08-07,13,1,Skills,60.0,5.0,300.0,1230.0,4.3,8.0,9.0,3.0,675.0,157.5
143,2017-08-08,9,1,Mobility/Recovery,30.0,0.0,0.0,180.0,3.6,10.0,10.0,3.0,312.1,86.3
144,2017-08-08,9,1,Conditioning,45.0,4.0,180.0,180.0,3.6,10.0,10.0,3.0,312.1,86.3
145,2017-08-08,8,1,Strength,90.0,7.0,630.0,880.0,3.9,8.0,10.0,3.0,442.9,114.8
146,2017-08-08,8,1,Conditioning,50.0,5.0,250.0,880.0,3.9,9.0,10.0,3.0,442.9,114.8
147,2017-08-08,7,1,Conditioning,60.0,7.0,420.0,1380.0,4.3,8.0,9.0,1.0,347.1,81.0
148,2017-08-08,3,1,Conditioning,60.0,6.0,360.0,1200.0,3.7,8.0,8.0,0.0,630.0,169.5
149,2017-08-08,5,1,Strength,60.0,5.0,300.0,300.0,3.5,9.0,8.0,1.0,227.1,64.0
150,2017-08-08,4,1,Conditioning,60.0,5.0,300.0,1140.0,4.3,8.0,6.0,3.0,495.0,115.5
151,2017-08-08,4,1,Strength,120.0,7.0,840.0,1140.0,4.3,8.0,6.0,3.0,495.0,115.5
152,2017-08-08,3,1,Strength,120.0,7.0,840.0,1200.0,3.7,8.0,8.0,0.0,630.0,169.5
153,2017-08-08,11,1,Strength,90.0,5.0,450.0,580.0,3.3,7.0,6.0,3.0,230.0,70.3
154,2017-08-08,7,1,Strength,120.0,8.0,960.0,1380.0,4.3,6.0,8.0,3.0,347.1,81.0
155,2017-08-08,11,1,Mobility/Recovery,30.0,2.0,60.0,580.0,3.3,7.0,6.0,3.0,230.0,70.3
156,2017-08-08,13,1,Strength,90.0,6.0,540.0,960.0,3.7,8.0,8.0,3.0,692.1,189.5
157,2017-08-08,12,1,Strength,120.0,4.0,480.0,700.0,3.8,7.0,7.0,3.0,284.3,75.7
158,2017-08-08,11,1,Skills,35.0,2.0,70.0,580.0,3.3,7.0,6.0,3.0,230.0,70.3
159,2017-08-08,17,1,Strength,30.0,2.0,60.0,480.0,4.3,0.0,0.0,0.0,110.7,25.8
160,2017-08-08,16,1,Strength,90.0,1.0,90.0,90.0,4.3,5.0,8.0,0.0,12.9,3.0
161,2017-08-08,15,1,Conditioning,55.0,5.0,275.0,1075.0,3.9,8.0,8.0,3.0,437.9,112.2
162,2017-08-08,15,1,Strength,100.0,8.0,800.0,1075.0,3.9,5.0,7.0,3.0,437.9,112.2
163,2017-08-08,16,1,Mobility/Recovery,30.0,0.0,0.0,90.0,4.3,5.0,8.0,3.0,12.9,3.0
164,2017-08-08,14,1,Strength,120.0,6.0,720.0,1080.0,4.3,8.0,10.0,3.0,617.1,144.0
165,2017-08-08,13,1,Mobility/Recovery,20.0,0.0,0.0,960.0,3.7,8.0,8.0,3.0,692.1,189.5
166,2017-08-08,13,1,Conditioning,60.0,7.0,420.0,960.0,3.7,8.0,8.0,3.0,692.1,189.5
167,2017-08-08,17,1,Conditioning,60.0,7.0,420.0,480.0,4.3,0.0,0.0,3.0,110.7,25.8
168,2017-08-08,12,1,Conditioning,55.0,4.0,220.0,700.0,3.8,7.0,7.0,3.0,284.3,75.7
169,2017-08-08,14,1,Conditioning,60.0,6.0,360.0,1080.0,4.3,9.0,7.0,3.0,617.1,144.0
170,2017-08-09,9,1,Mobility/Recovery,20.0,0.0,0.0,500.0,3.7,10.0,10.0,3.0,383.6,103.0
171,2017-08-09,3,1,Mobility/Recovery,60.0,3.0,180.0,270.0,3.6,8.0,8.0,3.0,642.9,178.5
172,2017-08-09,3,1,Mobility/Recovery,30.0,3.0,90.0,270.0,3.6,8.0,8.0,3.0,642.9,178.5
173,2017-08-09,7,1,Mobility/Recovery,60.0,1.0,60.0,60.0,4.3,9.0,0.0,1.0,355.7,83.0
174,2017-08-09,8,1,Mobility/Recovery,60.0,1.0,60.0,60.0,3.7,8.0,8.0,3.0,434.3,116.8
175,2017-08-09,9,1,Conditioning,20.0,4.0,80.0,500.0,3.7,10.0,10.0,3.0,383.6,103.0
176,2017-08-09,9,1,Strength,60.0,7.0,420.0,500.0,3.7,10.0,10.0,3.0,383.6,103.0
177,2017-08-09,11,1,Mobility/Recovery,60.0,3.0,180.0,330.0,3.3,8.0,8.0,3.0,268.6,81.3
178,2017-08-09,10,1,Mobility/Recovery,60.0,0.0,0.0,0.0,3.4,10.0,10.0,3.0,427.9,127.2
179,2017-08-09,12,1,Mobility/Recovery,45.0,1.0,45.0,45.0,3.5,8.0,8.0,3.0,273.6,77.2
180,2017-08-09,13,1,Mobility/Recovery,30.0,0.0,0.0,0.0,3.5,7.0,8.0,3.0,657.9,189.5
181,2017-08-09,13,1,Mobility/Recovery,60.0,0.0,0.0,0.0,3.5,9.0,10.0,3.0,657.9,189.5
182,2017-08-09,14,1,Mobility/Recovery,60.0,1.0,60.0,60.0,4.2,10.0,8.0,0.0,608.6,146.0
183,2017-08-09,15,1,Mobility/Recovery,50.0,1.0,50.0,50.0,3.7,8.0,10.0,0.0,419.3,113.8
184,2017-08-09,16,1,Strength,60.0,2.0,120.0,165.0,4.3,10.0,9.0,3.0,36.4,8.5
185,2017-08-09,16,1,Mobility/Recovery,45.0,1.0,45.0,165.0,4.3,10.0,9.0,3.0,36.4,8.5
186,2017-08-09,17,1,Mobility/Recovery,60.0,3.0,180.0,180.0,4.3,9.0,0.0,3.0,136.4,31.8
187,2017-08-09,11,1,Mobility/Recovery,75.0,2.0,150.0,330.0,3.3,8.0,8.0,3.0,268.6,81.3
188,2017-08-10,10,1,Skills,45.0,1.0,45.0,225.0,2.7,8.0,8.0,3.0,357.1,134.7
189,2017-08-10,10,1,Strength,60.0,3.0,180.0,225.0,2.7,8.0,8.0,0.0,357.1,134.7
190,2017-08-10,9,0,,,,,0.0,2.9,,,,297.9,103.0
191,2017-08-10,8,1,Skills,75.0,4.0,300.0,660.0,3.3,10.0,10.0,3.0,460.0,138.8
192,2017-08-10,8,1,Strength,90.0,4.0,360.0,660.0,3.3,10.0,10.0,3.0,460.0,138.8
193,2017-08-10,7,1,Skills,90.0,4.0,360.0,850.0,4.3,7.0,8.0,3.0,477.1,111.3
194,2017-08-10,7,1,Strength,70.0,7.0,490.0,850.0,4.3,7.0,8.0,3.0,477.1,111.3
195,2017-08-10,3,1,Skills,90.0,4.0,360.0,760.0,3.1,8.0,8.0,3.0,640.0,203.8
196,2017-08-10,5,1,Conditioning,30.0,7.0,210.0,570.0,3.1,7.0,9.0,3.0,257.1,83.0
197,2017-08-10,4,1,Skills,90.0,4.0,360.0,810.0,4.1,8.0,8.0,1.0,585.0,142.5
198,2017-08-10,4,1,Strength,90.0,5.0,450.0,810.0,4.1,8.0,8.0,3.0,585.0,142.5
199,2017-08-10,3,1,Strength,75.0,4.0,300.0,760.0,3.1,8.0,8.0,3.0,640.0,203.8
200,2017-08-10,3,1,Speed,25.0,4.0,100.0,760.0,3.1,8.0,8.0,3.0,640.0,203.8
201,2017-08-10,5,1,Strength,60.0,6.0,360.0,570.0,3.1,8.0,9.0,3.0,257.1,83.0
202,2017-08-10,11,1,Conditioning,60.0,5.0,300.0,755.0,3.5,9.0,9.0,3.0,376.4,106.5
203,2017-08-10,14,1,Speed,20.0,3.0,60.0,710.0,3.5,10.0,8.0,3.0,596.4,169.7
204,2017-08-10,11,1,Skills,45.0,2.0,90.0,755.0,3.5,9.0,9.0,3.0,376.4,106.5
205,2017-08-10,11,1,Strength,80.0,4.0,320.0,755.0,3.5,9.0,9.0,0.0,376.4,106.5
206,2017-08-10,17,1,Strength,60.0,4.0,240.0,540.0,4.3,7.0,8.0,3.0,213.6,49.8
207,2017-08-10,16,0,,,,,0.0,4.3,,,3.0,36.4,8.5
208,2017-08-10,15,1,Skills,90.0,6.0,540.0,1010.0,3.1,8.0,8.0,3.0,460.7,147.5
209,2017-08-10,15,1,Strength,40.0,8.0,320.0,1010.0,3.1,8.0,8.0,3.0,460.7,147.5
210,2017-08-10,14,1,Skills,90.0,5.0,450.0,710.0,3.5,10.0,8.0,3.0,596.4,169.7
211,2017-08-10,14,1,Strength,40.0,5.0,200.0,710.0,3.5,10.0,8.0,3.0,596.4,169.7
212,2017-08-10,15,1,Speed,30.0,5.0,150.0,1010.0,3.1,8.0,8.0,3.0,460.7,147.5
213,2017-08-10,13,1,Mobility/Recovery,20.0,0.0,0.0,780.0,2.8,9.0,9.0,3.0,608.6,215.5
214,2017-08-10,13,1,Skills,70.0,6.0,420.0,780.0,2.8,9.0,9.0,3.0,608.6,215.5
215,2017-08-10,13,1,Strength,60.0,6.0,360.0,780.0,2.8,9.0,9.0,3.0,608.6,215.5
216,2017-08-10,12,1,Skills,75.0,4.0,300.0,600.0,3.0,8.0,8.0,3.0,295.0,97.2
217,2017-08-10,12,1,Strength,75.0,4.0,300.0,600.0,3.0,8.0,8.0,3.0,295.0,97.2
218,2017-08-10,11,1,Mobility/Recovery,45.0,1.0,45.0,755.0,3.5,9.0,9.0,1.0,376.4,106.5
219,2017-08-10,17,1,Skills,60.0,5.0,300.0,540.0,4.3,7.0,8.0,0.0,213.6,49.8
220,2017-08-11,7,1,Conditioning,60.0,6.0,360.0,1190.0,4.3,8.0,7.0,0.0,647.1,151.0
221,2017-08-11,9,1,Strength,90.0,6.0,540.0,690.0,2.3,10.0,10.0,3.0,294.3,126.0
222,2017-08-11,8,1,Conditioning,50.0,7.0,350.0,1180.0,3.0,8.0,10.0,3.0,532.1,178.2
223,2017-08-11,8,1,Strength,90.0,7.0,630.0,1180.0,3.0,9.0,8.0,3.0,532.1,178.2
224,2017-08-11,8,1,Speed,50.0,4.0,200.0,1180.0,3.0,9.0,10.0,3.0,532.1,178.2
225,2017-08-11,9,1,Conditioning,30.0,5.0,150.0,690.0,2.3,10.0,10.0,3.0,294.3,126.0
226,2017-08-11,4,1,Speed,60.0,4.0,240.0,990.0,3.3,8.0,8.0,1.0,578.6,175.5
227,2017-08-11,7,1,Speed,50.0,4.0,200.0,1190.0,4.3,10.0,10.0,0.0,647.1,151.0
228,2017-08-11,5,1,Strength,60.0,5.0,300.0,420.0,2.6,9.0,10.0,3.0,252.9,97.0
229,2017-08-11,5,1,Speed,30.0,4.0,120.0,420.0,2.6,7.0,10.0,3.0,252.9,97.0
230,2017-08-11,4,1,Conditioning,60.0,5.0,300.0,990.0,3.3,8.0,8.0,3.0,578.6,175.5
231,2017-08-11,4,1,Strength,90.0,5.0,450.0,990.0,3.3,8.0,8.0,3.0,578.6,175.5
232,2017-08-11,10,1,Strength,90.0,5.0,450.0,570.0,1.8,0.0,10.0,3.0,273.6,153.7
233,2017-08-11,7,1,Strength,90.0,7.0,630.0,1190.0,4.3,8.0,9.0,1.0,647.1,151.0
234,2017-08-11,10,1,Conditioning,40.0,3.0,120.0,570.0,1.8,0.0,10.0,3.0,273.6,153.7
235,2017-08-11,13,1,Conditioning,60.0,8.0,480.0,1470.0,2.4,7.0,8.0,3.0,634.3,264.5
236,2017-08-11,11,1,Strength,90.0,5.0,450.0,900.0,3.7,7.0,7.0,3.0,505.0,136.5
237,2017-08-11,11,1,Speed,45.0,6.0,270.0,900.0,3.7,7.0,7.0,3.0,505.0,136.5
238,2017-08-11,16,1,Mobility/Recovery,30.0,0.0,0.0,120.0,4.3,8.0,8.0,3.0,53.6,12.5
239,2017-08-11,16,1,Strength,60.0,2.0,120.0,120.0,4.3,8.0,8.0,3.0,53.6,12.5
240,2017-08-11,14,1,Conditioning,60.0,7.0,420.0,1185.0,2.8,10.0,9.0,3.0,583.6,209.2
241,2017-08-11,14,1,Strength,90.0,6.0,540.0,1185.0,2.8,10.0,9.0,3.0,583.6,209.2
