,Date,PlayerID,Duration,RPE,SessionLoad,DailyLoad,AcuteChronicRatio,ObjectiveRating,FocusRating,BestOutOfMyself,AcuteLoad,ChronicLoad,SessionType_Combat,SessionType_Conditioning,SessionType_Game,SessionType_Mobility/Recovery,SessionType_Skills,SessionType_Speed,SessionType_Strength
75,2017-08-04,13,10.0,0.0,0.0,1290.0,4.29,9.0,9.0,2.0,499.29,116.5,0,0,0,1,0,0,0
76,2017-08-04,13,90.0,5.0,450.0,1290.0,4.29,9.0,9.0,2.0,499.29,116.5,0,0,0,0,1,0,0
77,2017-08-04,14,90.0,5.0,450.0,1275.0,4.29,9.0,8.0,2.0,312.86,73.0,0,0,0,0,0,0,1
78,2017-08-04,13,60.0,5.0,300.0,1290.0,4.29,9.0,9.0,2.0,499.29,116.5,0,0,0,0,0,1,0
80,2017-08-04,10,75.0,4.0,300.0,1155.0,4.29,9.0,9.0,2.0,385.0,89.83,0,0,0,0,1,0,0
81,2017-08-04,10,90.0,7.0,630.0,1155.0,4.29,9.0,9.0,2.0,385.0,89.83,0,0,0,0,0,0,1
82,2017-08-04,10,45.0,5.0,225.0,1155.0,4.29,9.0,9.0,2.0,385.0,89.83,0,0,0,0,0,1,0
83,2017-08-04,13,90.0,6.0,540.0,1290.0,4.29,9.0,9.0,2.0,499.29,116.5,0,0,0,0,0,0,1
85,2017-08-05,13,30.0,0.0,0.0,0.0,4.29,8.0,8.0,2.0,499.29,116.5,0,0,0,1,0,0,0
93,2017-08-06,8,30.0,0.0,0.0,0.0,4.29,7.0,8.0,2.0,231.43,54.0,0,0,0,1,0,0,0
95,2017-08-06,13,30.0,0.0,0.0,0.0,4.29,9.0,5.0,2.0,499.29,116.5,0,0,0,1,0,0,0
98,2017-08-07,9,75.0,5.0,375.0,690.0,4.29,10.0,10.0,2.0,344.29,80.33,0,0,0,0,0,0,1
99,2017-08-07,8,90.0,6.0,540.0,945.0,4.29,10.0,10.0,2.0,366.43,85.5,0,0,0,0,0,0,1
100,2017-08-07,8,75.0,3.0,225.0,945.0,4.29,10.0,10.0,2.0,366.43,85.5,0,0,0,0,1,0,0
101,2017-08-07,8,60.0,3.0,180.0,945.0,4.29,10.0,10.0,2.0,366.43,85.5,0,0,0,0,0,1,0
102,2017-08-07,7,60.0,3.0,180.0,1050.0,4.29,9.0,7.0,2.0,150.0,35.0,0,0,0,0,1,0,0
103,2017-08-07,7,90.0,7.0,630.0,1050.0,4.29,9.0,7.0,2.0,150.0,35.0,0,0,0,0,0,0,1
104,2017-08-07,7,60.0,4.0,240.0,1050.0,4.29,9.0,7.0,0.0,150.0,35.0,0,0,0,0,0,1,0
105,2017-08-07,5,30.0,0.0,0.0,480.0,4.29,8.0,7.0,2.0,231.43,54.0,0,0,0,1,0,0,0
106,2017-08-07,5,60.0,5.0,300.0,480.0,4.29,0.0,10.0,2.0,231.43,54.0,0,0,0,0,0,0,1
107,2017-08-07,4,90.0,3.0,270.0,1110.0,4.29,7.0,8.0,2.0,332.14,77.5,0,0,0,0,1,0,0
108,2017-08-07,4,90.0,6.0,540.0,1110.0,4.29,7.0,8.0,2.0,332.14,77.5,0,0,0,0,0,0,1
109,2017-08-07,4,60.0,5.0,300.0,1110.0,4.29,7.0,8.0,2.0,332.14,77.5,0,0,0,0,0,1,0
110,2017-08-07,3,30.0,1.0,30.0,1110.0,4.29,9.0,8.0,2.0,555.0,129.5,0,0,0,1,0,0,0
111,2017-08-07,3,60.0,4.0,240.0,1110.0,4.29,9.0,8.0,2.0,555.0,129.5,0,0,0,0,1,0,0
112,2017-08-07,3,90.0,6.0,540.0,1110.0,4.29,9.0,8.0,2.0,555.0,129.5,0,0,0,0,0,0,1
113,2017-08-07,3,60.0,5.0,300.0,1110.0,4.29,9.0,8.0,2.0,555.0,129.5,0,0,0,0,0,1,0
114,2017-08-07,1,60.0,3.0,180.0,720.0,4.29,7.0,8.0,0.0,180.0,42.0,0,0,0,0,1,0,0
115,2017-08-07,1,90.0,4.0,360.0,720.0,4.29,7.0,8.0,2.0,180.0,42.0,0,0,0,0,0,0,1
116,2017-08-07,1,60.0,3.0,180.0,720.0,4.29,7.0,8.0,2.0,180.0,42.0,0,0,0,0,0,1,0
117,2017-08-07,9,45.0,7.0,315.0,690.0,4.29,10.0,10.0,2.0,344.29,80.33,0,1,0,0,0,0,0
118,2017-08-07,5,30.0,6.0,180.0,480.0,4.29,8.0,8.0,0.0,231.43,54.0,0,0,0,0,0,1,0
119,2017-08-07,9,30.0,0.0,0.0,690.0,4.29,10.0,10.0,2.0,344.29,80.33,0,0,0,1,0,0,0
120,2017-08-07,11,45.0,2.0,90.0,970.0,4.29,7.0,7.0,2.0,218.57,51.0,0,0,0,1,0,0,0
121,2017-08-07,10,100.0,7.0,700.0,1120.0,4.29,9.0,9.0,2.0,545.0,127.17,0,0,0,0,0,0,1
122,2017-08-07,17,60.0,2.0,120.0,295.0,4.29,7.0,9.0,2.0,42.14,9.83,0,0,0,0,1,0,0
123,2017-08-07,17,35.0,2.0,70.0,295.0,4.29,7.0,9.0,2.0,42.14,9.83,0,0,0,0,0,0,1
124,2017-08-07,17,35.0,3.0,105.0,295.0,4.29,7.0,9.0,2.0,42.14,9.83,0,0,0,0,0,1,0
125,2017-08-07,10,60.0,4.0,240.0,1120.0,4.29,9.0,9.0,2.0,545.0,127.17,0,0,0,0,0,1,0
126,2017-08-07,15,110.0,5.0,550.0,1090.0,4.29,9.0,9.0,2.0,327.14,76.33,0,0,0,0,0,0,1
127,2017-08-07,15,90.0,4.0,360.0,1090.0,4.29,9.0,9.0,2.0,327.14,76.33,0,0,0,0,0,1,0
128,2017-08-07,14,90.0,3.0,270.0,1050.0,4.29,9.0,9.0,2.0,462.86,108.0,0,0,0,0,1,0,0
129,2017-08-07,14,90.0,6.0,540.0,1050.0,4.29,9.0,9.0,2.0,462.86,108.0,0,0,0,0,0,0,1
130,2017-08-07,14,60.0,4.0,240.0,1050.0,4.29,9.0,9.0,2.0,462.86,108.0,0,0,0,0,0,1,0
131,2017-08-07,13,30.0,0.0,0.0,1230.0,4.29,8.0,9.0,2.0,675.0,157.5,0,0,0,1,0,0,0
132,2017-08-07,15,90.0,2.0,180.0,1090.0,4.29,9.0,9.0,2.0,327.14,76.33,0,0,0,0,1,0,0
133,2017-08-07,13,90.0,7.0,630.0,1230.0,4.29,8.0,9.0,2.0,675.0,157.5,0,0,0,0,0,0,1
134,2017-08-07,13,60.0,5.0,300.0,1230.0,4.29,8.0,9.0,2.0,675.0,157.5,0,0,0,0,0,1,0
135,2017-08-07,12,60.0,3.0,180.0,720.0,4.29,7.0,7.0,2.0,224.29,52.33,0,0,0,0,1,0,0
136,2017-08-07,12,90.0,4.0,360.0,720.0,4.29,7.0,7.0,2.0,224.29,52.33,0,0,0,0,0,0,1
137,2017-08-07,12,60.0,3.0,180.0,720.0,4.29,7.0,7.0,2.0,224.29,52.33,0,0,0,0,0,1,0
138,2017-08-07,11,60.0,3.0,180.0,970.0,4.29,7.0,7.0,1.0,218.57,51.0,0,0,0,0,1,0,0
139,2017-08-07,11,70.0,4.0,280.0,970.0,4.29,7.0,7.0,2.0,218.57,51.0,0,0,0,0,0,0,1
140,2017-08-07,11,60.0,7.0,420.0,970.0,4.29,7.0,7.0,2.0,218.57,51.0,0,0,0,0,0,1,0
141,2017-08-07,10,60.0,3.0,180.0,1120.0,4.29,9.0,9.0,2.0,545.0,127.17,0,0,0,0,1,0,0
142,2017-08-07,13,60.0,5.0,300.0,1230.0,4.29,8.0,9.0,2.0,675.0,157.5,0,0,0,0,1,0,0
143,2017-08-08,9,30.0,0.0,0.0,180.0,3.62,10.0,10.0,2.0,312.14,86.33,0,0,0,1,0,0,0
144,2017-08-08,9,45.0,4.0,180.0,180.0,3.62,10.0,10.0,2.0,312.14,86.33,0,1,0,0,0,0,0
145,2017-08-08,8,90.0,7.0,630.0,880.0,3.86,8.0,10.0,2.0,442.86,114.83,0,0,0,0,0,0,1
146,2017-08-08,8,50.0,5.0,250.0,880.0,3.86,9.0,10.0,2.0,442.86,114.83,0,1,0,0,0,0,0
147,2017-08-08,7,60.0,7.0,420.0,1380.0,4.29,8.0,9.0,1.0,347.14,81.0,0,1,0,0,0,0,0
148,2017-08-08,3,60.0,6.0,360.0,1200.0,3.72,8.0,8.0,0.0,630.0,169.5,0,1,0,0,0,0,0
149,2017-08-08,5,60.0,5.0,300.0,300.0,3.55,9.0,8.0,1.0,227.14,64.0,0,0,0,0,0,0,1
150,2017-08-08,4,60.0,5.0,300.0,1140.0,4.29,8.0,6.0,2.0,495.0,115.5,0,1,0,0,0,0,0
151,2017-08-08,4,120.0,7.0,840.0,1140.0,4.29,8.0,6.0,2.0,495.0,115.5,0,0,0,0,0,0,1
152,2017-08-08,3,120.0,7.0,840.0,1200.0,3.72,8.0,8.0,0.0,630.0,169.5,0,0,0,0,0,0,1
153,2017-08-08,11,90.0,5.0,450.0,580.0,3.27,7.0,6.0,2.0,230.0,70.33,0,0,0,0,0,0,1
154,2017-08-08,7,120.0,8.0,960.0,1380.0,4.29,6.0,8.0,2.0,347.14,81.0,0,0,0,0,0,0,1
155,2017-08-08,11,30.0,2.0,60.0,580.0,3.27,7.0,6.0,2.0,230.0,70.33,0,0,0,1,0,0,0
156,2017-08-08,13,90.0,6.0,540.0,960.0,3.65,8.0,8.0,2.0,692.14,189.5,0,0,0,0,0,0,1
157,2017-08-08,12,120.0,4.0,480.0,700.0,3.76,7.0,7.0,2.0,284.29,75.67,0,0,0,0,0,0,1
158,2017-08-08,11,35.0,2.0,70.0,580.0,3.27,7.0,6.0,2.0,230.0,70.33,0,0,0,0,1,0,0
159,2017-08-08,17,30.0,2.0,60.0,480.0,4.29,0.0,0.0,0.0,110.71,25.83,0,0,0,0,0,0,1
160,2017-08-08,16,90.0,1.0,90.0,90.0,4.29,5.0,8.0,0.0,12.86,3.0,0,0,0,0,0,0,1
161,2017-08-08,15,55.0,5.0,275.0,1075.0,3.9,8.0,8.0,2.0,437.86,112.17,0,1,0,0,0,0,0
162,2017-08-08,15,100.0,8.0,800.0,1075.0,3.9,5.0,7.0,2.0,437.86,112.17,0,0,0,0,0,0,1
163,2017-08-08,16,30.0,0.0,0.0,90.0,4.29,5.0,8.0,2.0,12.86,3.0,0,0,0,1,0,0,0
164,2017-08-08,14,120.0,6.0,720.0,1080.0,4.29,8.0,10.0,2.0,617.14,144.0,0,0,0,0,0,0,1
165,2017-08-08,13,20.0,0.0,0.0,960.0,3.65,8.0,8.0,2.0,692.14,189.5,0,0,0,1,0,0,0
166,2017-08-08,13,60.0,7.0,420.0,960.0,3.65,8.0,8.0,2.0,692.14,189.5,0,1,0,0,0,0,0
167,2017-08-08,17,60.0,7.0,420.0,480.0,4.29,0.0,0.0,2.0,110.71,25.83,0,1,0,0,0,0,0
168,2017-08-08,12,55.0,4.0,220.0,700.0,3.76,7.0,7.0,2.0,284.29,75.67,0,1,0,0,0,0,0
169,2017-08-08,14,60.0,6.0,360.0,1080.0,4.29,9.0,7.0,2.0,617.14,144.0,0,1,0,0,0,0,0
170,2017-08-09,9,20.0,0.0,0.0,500.0,3.72,10.0,10.0,2.0,383.57,103.0,0,0,0,1,0,0,0
171,2017-08-09,3,60.0,3.0,180.0,270.0,3.6,8.0,8.0,2.0,642.86,178.5,0,0,0,1,0,0,0
172,2017-08-09,3,30.0,3.0,90.0,270.0,3.6,8.0,8.0,2.0,642.86,178.5,0,0,0,1,0,0,0
173,2017-08-09,7,60.0,1.0,60.0,60.0,4.29,9.0,0.0,1.0,355.71,83.0,0,0,0,1,0,0,0
174,2017-08-09,8,60.0,1.0,60.0,60.0,3.72,8.0,8.0,2.0,434.29,116.83,0,0,0,1,0,0,0
175,2017-08-09,9,20.0,4.0,80.0,500.0,3.72,10.0,10.0,2.0,383.57,103.0,0,1,0,0,0,0,0
176,2017-08-09,9,60.0,7.0,420.0,500.0,3.72,10.0,10.0,2.0,383.57,103.0,0,0,0,0,0,0,1
177,2017-08-09,11,60.0,3.0,180.0,330.0,3.3,8.0,8.0,2.0,268.57,81.33,0,0,0,1,0,0,0
178,2017-08-09,10,60.0,0.0,0.0,0.0,3.36,10.0,10.0,2.0,427.86,127.17,0,0,0,1,0,0,0
179,2017-08-09,12,45.0,1.0,45.0,45.0,3.55,8.0,8.0,2.0,273.57,77.17,0,0,0,1,0,0,0
180,2017-08-09,13,30.0,0.0,0.0,0.0,3.47,7.0,8.0,2.0,657.86,189.5,0,0,0,1,0,0,0
181,2017-08-09,13,60.0,0.0,0.0,0.0,3.47,9.0,10.0,2.0,657.86,189.5,0,0,0,1,0,0,0
182,2017-08-09,14,60.0,1.0,60.0,60.0,4.17,10.0,8.0,0.0,608.57,146.0,0,0,0,1,0,0,0
183,2017-08-09,15,50.0,1.0,50.0,50.0,3.68,8.0,10.0,0.0,419.29,113.83,0,0,0,1,0,0,0
184,2017-08-09,16,60.0,2.0,120.0,165.0,4.29,10.0,9.0,2.0,36.43,8.5,0,0,0,0,0,0,1
185,2017-08-09,16,45.0,1.0,45.0,165.0,4.29,10.0,9.0,2.0,36.43,8.5,0,0,0,1,0,0,0
186,2017-08-09,17,60.0,3.0,180.0,180.0,4.29,9.0,0.0,2.0,136.43,31.83,0,0,0,1,0,0,0
187,2017-08-09,11,75.0,2.0,150.0,330.0,3.3,8.0,8.0,2.0,268.57,81.33,0,0,0,1,0,0,0
188,2017-08-10,10,45.0,1.0,45.0,225.0,2.65,8.0,8.0,2.0,357.14,134.67,0,0,0,0,1,0,0
189,2017-08-10,10,60.0,3.0,180.0,225.0,2.65,8.0,8.0,0.0,357.14,134.67,0,0,0,0,0,0,1
191,2017-08-10,8,75.0,4.0,300.0,660.0,3.31,10.0,10.0,2.0,460.0,138.83,0,0,0,0,1,0,0
192,2017-08-10,8,90.0,4.0,360.0,660.0,3.31,10.0,10.0,2.0,460.0,138.83,0,0,0,0,0,0,1
193,2017-08-10,7,90.0,4.0,360.0,850.0,4.29,7.0,8.0,2.0,477.14,111.33,0,0,0,0,1,0,0
194,2017-08-10,7,70.0,7.0,490.0,850.0,4.29,7.0,8.0,2.0,477.14,111.33,0,0,0,0,0,0,1
195,2017-08-10,3,90.0,4.0,360.0,760.0,3.14,8.0,8.0,2.0,640.0,203.83,0,0,0,0,1,0,0
196,2017-08-10,5,30.0,7.0,210.0,570.0,3.1,7.0,9.0,2.0,257.14,83.0,0,1,0,0,0,0,0
197,2017-08-10,4,90.0,4.0,360.0,810.0,4.11,8.0,8.0,1.0,585.0,142.5,0,0,0,0,1,0,0
198,2017-08-10,4,90.0,5.0,450.0,810.0,4.11,8.0,8.0,2.0,585.0,142.5,0,0,0,0,0,0,1
199,2017-08-10,3,75.0,4.0,300.0,760.0,3.14,8.0,8.0,2.0,640.0,203.83,0,0,0,0,0,0,1
200,2017-08-10,3,25.0,4.0,100.0,760.0,3.14,8.0,8.0,2.0,640.0,203.83,0,0,0,0,0,1,0
201,2017-08-10,5,60.0,6.0,360.0,570.0,3.1,8.0,9.0,2.0,257.14,83.0,0,0,0,0,0,0,1
202,2017-08-10,11,60.0,5.0,300.0,755.0,3.53,9.0,9.0,2.0,376.43,106.5,0,1,0,0,0,0,0
203,2017-08-10,14,20.0,3.0,60.0,710.0,3.52,10.0,8.0,2.0,596.43,169.67,0,0,0,0,0,1,0
204,2017-08-10,11,45.0,2.0,90.0,755.0,3.53,9.0,9.0,2.0,376.43,106.5,0,0,0,0,1,0,0
205,2017-08-10,11,80.0,4.0,320.0,755.0,3.53,9.0,9.0,0.0,376.43,106.5,0,0,0,0,0,0,1
206,2017-08-10,17,60.0,4.0,240.0,540.0,4.29,7.0,8.0,2.0,213.57,49.83,0,0,0,0,0,0,1
208,2017-08-10,15,90.0,6.0,540.0,1010.0,3.12,8.0,8.0,2.0,460.71,147.5,0,0,0,0,1,0,0
209,2017-08-10,15,40.0,8.0,320.0,1010.0,3.12,8.0,8.0,2.0,460.71,147.5,0,0,0,0,0,0,1
210,2017-08-10,14,90.0,5.0,450.0,710.0,3.52,10.0,8.0,2.0,596.43,169.67,0,0,0,0,1,0,0
211,2017-08-10,14,40.0,5.0,200.0,710.0,3.52,10.0,8.0,2.0,596.43,169.67,0,0,0,0,0,0,1
212,2017-08-10,15,30.0,5.0,150.0,1010.0,3.12,8.0,8.0,2.0,460.71,147.5,0,0,0,0,0,1,0
213,2017-08-10,13,20.0,0.0,0.0,780.0,2.82,9.0,9.0,2.0,608.57,215.5,0,0,0,1,0,0,0
214,2017-08-10,13,70.0,6.0,420.0,780.0,2.82,9.0,9.0,2.0,608.57,215.5,0,0,0,0,1,0,0
215,2017-08-10,13,60.0,6.0,360.0,780.0,2.82,9.0,9.0,2.0,608.57,215.5,0,0,0,0,0,0,1
216,2017-08-10,12,75.0,4.0,300.0,600.0,3.04,8.0,8.0,2.0,295.0,97.17,0,0,0,0,1,0,0
217,2017-08-10,12,75.0,4.0,300.0,600.0,3.04,8.0,8.0,2.0,295.0,97.17,0,0,0,0,0,0,1
218,2017-08-10,11,45.0,1.0,45.0,755.0,3.53,9.0,9.0,1.0,376.43,106.5,0,0,0,1,0,0,0
219,2017-08-10,17,60.0,5.0,300.0,540.0,4.29,7.0,8.0,0.0,213.57,49.83,0,0,0,0,1,0,0
220,2017-08-11,7,60.0,6.0,360.0,1190.0,4.29,8.0,7.0,0.0,647.14,151.0,0,1,0,0,0,0,0
221,2017-08-11,9,90.0,6.0,540.0,690.0,2.34,10.0,10.0,2.0,294.29,126.0,0,0,0,0,0,0,1
222,2017-08-11,8,50.0,7.0,350.0,1180.0,2.99,8.0,10.0,2.0,532.14,178.17,0,1,0,0,0,0,0
223,2017-08-11,8,90.0,7.0,630.0,1180.0,2.99,9.0,8.0,2.0,532.14,178.17,0,0,0,0,0,0,1
224,2017-08-11,8,50.0,4.0,200.0,1180.0,2.99,9.0,10.0,2.0,532.14,178.17,0,0,0,0,0,1,0
225,2017-08-11,9,30.0,5.0,150.0,690.0,2.34,10.0,10.0,2.0,294.29,126.0,0,1,0,0,0,0,0
226,2017-08-11,4,60.0,4.0,240.0,990.0,3.3,8.0,8.0,1.0,578.57,175.5,0,0,0,0,0,1,0
